"STATION","NAME","DATE","AWND","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-20","4.92",,"47","61","31","   90","  100","15.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-21","3.80",,"47","55","39","  100","  100","14.1","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-22","10.51",,"50","62","42","   60","   90","18.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-23","11.86",,"51","63","43","   20","   10","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-24","8.50",,"55","65","48","  360","  360","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-25","13.87",,"49","53","38","   10","   20","30.0","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-26","3.80",,"48","66","36","  260","  260","14.1","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-27","13.87",,"53","58","39","  350","  350","29.1","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-28","12.30",,"42","50","33","   30","   30","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-29","6.71",,"43","59","31","   90","   90","14.1","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-30","12.53",,"56","80","40","  200","  190","21.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-01","15.43",,"72","86","60","  190","  190","29.1","36.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-02","12.30",,"77","86","63","  300","  300","36.0","47.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-03","7.16",,"64","70","54","  200","  200","23.9","36.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-04","14.32",,"65","74","61","  270","  260","33.1","47.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-05","8.50",,"70","82","57","   20","  290","21.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-06","9.84",,"62","68","50","   20","   40","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-07","5.59",,"59","75","46","  110","  120","15.0","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-08","6.93",,"69","81","57","  120",,"14.1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-09","13.42",,"70","81","57","  200","  200","25.9","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-10","9.17",,"66","73","50","   30","   40","18.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-11","14.99",,"52","52","45","   60","   50","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-12","12.53",,"46","50","44","   30","   30","21.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-13","6.26",,"52","67","45","   40","   40","18.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-14","8.28",,"62","83","53","  300","  290","23.9","38.0"
