,game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz,HomeTeam,AwayTeam
1700,2013020440,20132014,R,2013-12-08T00:00:00Z,10,9,4,3,away win SO,left,Canadian Tire Centre,/api/v1/venues/null,America/New_York,-4,EDT,Ottawa,Toronto
946,2013020444,20132014,R,2013-12-08T00:30:00Z,1,3,4,3,away win OT,right,Madison Square Garden,/api/v1/venues/null,America/New_York,-4,EDT,NY Rangers,New Jersey
956,2013020445,20132014,R,2013-12-08T01:00:00Z,24,19,5,2,away win REG,left,Scottrade Center,/api/v1/venues/null,America/Chicago,-5,CDT,St Louis,Anaheim
2095,2013020447,20132014,R,2013-12-08T03:00:00Z,20,22,2,1,away win OT,left,Rexall Place,/api/v1/venues/null,America/Edmonton,-6,MDT,Edmonton,Calgary
2008,2013020448,20132014,R,2013-12-08T03:30:00Z,2,26,0,3,home win REG,right,Staples Center,/api/v1/venues/null,America/Los_Angeles,-7,PDT,Los Angeles,NY Islanders
941,2013020449,20132014,R,2013-12-08T23:00:00Z,28,30,1,3,home win REG,right,Xcel Energy Center,/api/v1/venues/null,America/Chicago,-5,CDT,Minnesota,San Jose
1465,2013020452,20132014,R,2013-12-09T00:00:00Z,13,16,2,6,home win REG,right,United Center,/api/v1/venues/null,America/Chicago,-5,CDT,Chicago,Florida
1831,2013020450,20132014,R,2013-12-09T00:00:00Z,6,10,5,2,away win REG,right,Air Canada Centre,/api/v1/venues/null,America/Toronto,-4,EDT,Toronto,Boston
2111,2013020451,20132014,R,2013-12-09T00:00:00Z,15,3,4,1,away win REG,right,Madison Square Garden,/api/v1/venues/null,America/New_York,-4,EDT,NY Rangers,Washington
1448,2013020453,20132014,R,2013-12-09T01:00:00Z,21,23,1,3,home win REG,right,Rogers Arena,/api/v1/venues/null,America/Vancouver,-7,PDT,Vancouver,Colorado
1853,2013020454,20132014,R,2013-12-10T00:30:00Z,4,9,4,5,home win SO,left,Canadian Tire Centre,/api/v1/venues/null,America/New_York,-4,EDT,Ottawa,Philadelphia
2020,2013020455,20132014,R,2013-12-10T00:30:00Z,29,5,1,2,home win REG,left,CONSOL Energy Center,/api/v1/venues/null,America/New_York,-4,EDT,Pittsburgh,Columbus
1179,2013020456,20132014,R,2013-12-10T03:00:00Z,12,23,0,2,home win REG,right,Rogers Arena,/api/v1/venues/null,America/Vancouver,-7,PDT,Vancouver,Carolina
1960,2013020457,20132014,R,2013-12-10T03:00:00Z,2,24,2,5,home win REG,left,Honda Center,/api/v1/venues/null,America/Los_Angeles,-7,PDT,Anaheim,NY Islanders
1397,2013020460,20132014,R,2013-12-11T00:00:00Z,1,29,4,5,home win REG,left,Nationwide Arena,/api/v1/venues/null,America/New_York,-4,EDT,Columbus,New Jersey
